Name													CRC32		Size
--------------------------------------------------------------------------------------------------------------------------------
3x3 Eyes - Juuma Houkan [33ejh].rsn									1A41C2CC	188325
3x3 Eyes - Seima Kourinden [33esk].rsn									04D87E76	60174
3 Ninjas Kick Back [3nkb].rsn										89557544	163109
4 Nin Shogi [4ns].rsn											7297A255	82749
7th Saga [7sg].rsn											19F27FBA	75682
U.N. Squadron [a88].rsn											C45ED38F	56879
Andre Agassi Tennis [aat].rsn										17BDEE46	52839
American Battle Dome [abd].rsn										F8CF8F9B	96338
Adventures of Batman and Robin, The [abr].rsn								62EE4AB2	150627
Akazukin Cha Cha [acc].rsn										736B5A3F	70104
Accelebrid [accb].rsn											55E1849A	113652
Christmas Demo [acd].rsn										B0B991FF	52036
Ace o Nerae! [ace].rsn											04DA01D0	94982
ACME Animation Factory [acme].rsn									34919F68	103699
Acrobat Mission [acrm].rsn										2C50D850	44813
Action Pachio [actp].rsn										C3A67DB6	131019
Actraiser [actr].rsn											50DA2821	81619
Actraiser 2 [actr2].rsn											CAC4EFF6	171639
Addams Family, The [adf].rsn										B9663740	63253
Aoki Densetsu Shoot! [ads].rsn										4AF45EA2	103397
Aero the Acro-Bat [aero].rsn										EF125058	91747
Aero the Acro-Bat 2 [aero2].rsn										E44AC1F1	136733
Addams Family, The - Pugsley's Scavenger Hunt [afam2].rsn						ECA14923	116143
Addams Family Values [afv].rsn										C3E50C33	222307
American Gladiators [ag].rsn										6DF14F1B	28030
Aging Cassette [aging].rsn										48188CBC	6684
Uchuu Race Astro Go Go [agogo].rsn									AC6AAA98	47568
Astrohawk - May 2003 Version [ahawk].rsn								0CF943F3	32829
Air Cavalry [airc].rsn											4F9E4FD6	64645
Air Management - Ozora ni Kakeru (Aerobiz) [airm].rsn							0D5B392B	48720
Air Management 2 - Koukuu Ou wo Mezase (Aerobiz Supersonic) [airm2].rsn					FE6E5FEF	59303
Alien 3 [al3].rsn											36660ACB	137567
Aladdin [ala].rsn											23195BEA	93995
Alcahest [alca].rsn											144194E4	79668
Alfred Chicken [alch].rsn										194A61A9	60274
Ardy Lightfoot [alft].rsn										A8290255	137877
Alice's Paint Adventure [alice].rsn									09310796	116335
Albert Odyssey [alod].rsn										4A0D6C0D	104190
Albert Odyssey 2 [alod2].rsn										981D0234	138420
Archer MacLean's Dropzone [amdz].rsn									03FEB91A	86969
ABC Monday Night Football [amnf].rsn									775BA02B	158134
Arabian Nights [an].rsn											65FC4780	183485
Animaniacs [ani].rsn											EC03135C	125933
Animaniacs (Super Gameboy) [anigb].rsn									975C0D7B	61407
Apocalypse II [apii].rsn										22EBDFB3	55982
Armor Police Metal Jack [apmj].rsn									6F794F74	84073
Appleseed - Prometheus no Shintaku [apple].rsn								08A7A5E9	84005
Super Aquatic Games (James Pond's Crazy Sports) [aqua].rsn						C1F98C54	46802
Araiguma Rascal [ar].rsn										9BB474C6	207801
Adventures of Rocky and Bullwinkle and Friends, The [arbf].rsn						C26C84CE	53584
Arcus Spirits [arc].rsn											1DF460B5	88198
Aretha [are].rsn											3F1ADB3C	88220
Aretha 2 [are2].rsn											E38C26A9	145990
A Ressha de Ikou 3 Super Version [ari3].rsn								D2757F53	59815
AAAHH!!! Real Monsters [arm].rsn									ADC8E699	172065
Aryol [aryol].rsn											8FA3B6BB	64954
Aguri Suzuki F-1 Super Driving [asf1].rsn								B52E291E	50939
A.S.P. Air Strike Patrol [asp].rsn									A34F69A4	116914
Asahi Shinbun Rensai [asr].rsn										E3034492	56918
Asterix [ast].rsn											2F691C9B	93037
Asterix & Obelix [ast2].rsn										A28BC77B	101741
Ashita no Joe [astj].rsn										3FCE02FB	218292
An American Tail - Fievel Goes West [atfgw].rsn								C60DBB29	71974
Al Unser Jr's Road to the Top [aurt].rsn								C5088214	73276
Alien vs. Predator [avsp].rsn										9A6DE04D	65704
Axelay [axe].rsn											76D1E7DA	99392
Ballz 3D [ballz].rsn											5B8C20E0	112434
